#{"t_start": 1707792798.1131709, "env_id": "CartPole-v1"}
r,l,t
14.0,14,10.946992
50.0,50,11.015357
16.0,16,11.023785
35.0,35,11.059043
12.0,12,11.083169
26.0,26,11.114356
13.0,13,11.121485
23.0,23,11.151293
20.0,20,11.17203
49.0,49,11.24988
22.0,22,11.283966
14.0,14,11.29151
14.0,14,11.315714
21.0,21,11.327087
23.0,23,11.356591
22.0,22,11.374692
34.0,34,11.395115
26.0,26,11.410033
19.0,19,11.420788
25.0,25,11.435958
35.0,35,11.456128
42.0,42,11.479365
26.0,26,11.493711
14.0,14,11.501677
27.0,27,11.518722
50.0,50,11.555403
24.0,24,11.583946
77.0,77,11.674724
116.0,116,11.738671
36.0,36,11.75814
37.0,37,11.778953
35.0,35,12.723297
36.0,36,12.759498
61.0,61,12.829357
51.0,51,12.881505
13.0,13,12.904867
56.0,56,12.967609
17.0,17,12.976776
19.0,19,13.007552
38.0,38,13.044922
37.0,37,13.099353
16.0,16,13.108309
39.0,39,13.145994
31.0,31,13.195661
73.0,73,13.259871
35.0,35,13.312828
19.0,19,13.323464
45.0,45,13.381032
83.0,83,13.475276
43.0,43,13.515059
29.0,29,13.546976
19.0,19,13.615509
26.0,26,13.64607
24.0,24,13.675622
50.0,50,13.735804
51.0,51,13.779737
40.0,40,13.834467
33.0,33,13.868788
44.0,44,13.909098
10.0,10,13.931269
27.0,27,13.962513
32.0,32,14.00281
37.0,37,14.039548
13.0,13,14.062965
16.0,16,14.071769
42.0,42,14.12724
41.0,41,14.166325
69.0,69,14.253422
16.0,16,14.26229
25.0,25,14.291505
30.0,30,14.324291
15.0,15,14.333771
21.0,21,14.36168
31.0,31,14.394986
41.0,41,14.449981
14.0,14,14.457778
112.0,112,14.582063
22.0,22,14.610112
11.0,11,14.615969
13.0,13,14.63915
83.0,83,14.729488
16.0,16,14.785686
42.0,42,14.825032
47.0,47,14.8834
32.0,32,14.917215
51.0,51,14.977776
44.0,44,15.018116
35.0,35,15.065883
34.0,34,15.995517
46.0,46,16.051223
55.0,55,16.12205
35.0,35,16.141926
42.0,42,16.197534
19.0,19,16.207971
26.0,26,16.23831
42.0,42,16.293908
10.0,10,16.299438
63.0,63,16.335801
50.0,50,16.362726
28.0,28,16.378288
98.0,98,16.431374
22.0,22,16.443374
32.0,32,16.477357
16.0,16,16.502452
40.0,40,16.542368
30.0,30,16.575593
56.0,56,16.658827
64.0,64,16.713392
13.0,13,16.720532
