#{"t_start": 1707773610.4748547, "env_id": "LunarLander-v2"}
r,l,t
-64.225195,153,40.565899
-109.299507,103,40.652315
-321.119303,154,40.787782
-175.762016,117,40.88727
-164.368384,112,40.979782
-323.00283,102,41.062775
-305.249085,98,41.343342
-179.611423,106,41.436101
-291.903421,249,41.65844
-114.44551,114,41.751724
-254.258047,140,41.867612
-250.837362,82,41.93719
-455.11397,126,42.046446
19.721423,113,42.144134
-229.40057,108,42.441884
-168.299017,137,42.56202
-288.334054,102,42.643533
-195.467681,125,42.746323
-308.814696,140,42.86208
-531.207768,198,43.027192
-190.856292,136,43.13734
-142.530373,109,43.224072
-238.176696,234,43.634501
-416.104535,117,43.728076
-144.978641,223,43.922081
-324.362348,118,44.017942
-156.787004,107,44.108905
-175.147215,128,44.212708
-88.482732,121,44.306767
-218.802096,160,44.646932
-55.784096,168,44.78564
-259.450691,95,44.861259
-71.014655,78,44.922404
-315.617748,147,45.040138
-228.126612,223,45.233061
-232.252308,102,45.314314
-235.737309,162,45.659038
-314.844554,86,45.726522
-270.39939,120,45.828658
-311.348421,129,45.933947
-216.948831,141,46.047542
-103.619983,169,46.187611
-242.258978,125,46.292476
-202.644026,114,46.391642
-34.416288,172,46.755571
-216.188525,129,46.861176
-94.886475,102,46.945205
-299.805353,103,47.028483
-490.280085,123,47.127834
-124.55078,133,47.237132
-270.452188,100,47.317125
-49.445667,94,47.392675
-169.209069,85,47.458281
-335.745752,112,47.769687
-100.521789,119,47.870363
-16.916343,94,47.943743
-445.443175,134,48.050795
-99.390413,124,48.150841
-123.228008,100,48.23217
-331.841172,131,48.336107
-87.482443,71,48.392549
-259.794058,89,48.463427
-64.444955,70,48.527563
-116.116804,87,48.802548
-58.843102,108,48.889518
-181.762395,163,49.021403
-449.43176,148,49.141748
-79.910875,114,49.233124
-152.289391,116,49.323812
-166.286017,81,49.38931
-184.143962,143,49.515918
-25.236893,192,49.891537
-49.289085,129,49.997407
-290.155102,89,50.068457
-232.809646,121,50.165851
-238.776433,154,50.290577
-248.148505,115,50.381586
-368.951346,100,50.460403
-104.13028,158,50.596868
-246.450621,102,50.884723
-142.111667,118,50.982382
-154.230051,88,51.055076
-235.078712,114,51.149565
-53.180201,91,51.221829
-60.06732,79,51.284181
-341.888545,88,51.363431
-372.568139,126,51.482253
-332.47653,119,51.584484
-396.195578,101,51.679894
-79.177517,108,51.98232
-373.460411,165,52.126907
-51.305759,92,52.206218
-227.790058,80,52.276021
-184.059118,113,52.372827
-79.860993,115,52.469841
-265.19874,94,52.549241
-48.10328,88,52.621131
-675.635424,173,52.773324
-121.933106,130,53.08309
-215.402715,96,53.158947
-112.545299,79,53.220396
-231.301169,114,53.311339
-238.821485,110,53.398128
-74.609456,106,53.482339
-190.113695,122,53.582852
-317.023223,144,53.710979
-304.717349,83,53.780538
-47.036314,83,54.056363
-413.548818,97,54.135857
-306.692657,92,54.213811
